Time,REF,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,dT_REF,dT_S01,dT_S02,dT_S03,dT_S04,dT_S05,dT_S06,dT_S07,dT_S08,dT_S09,dT_S10,dT_S11,dT_S12,dT_S13,dT_S14,dT_S15,dT_S16,dT_S17,dT_S18,dT_S19
2026-04-27 00:00:51.020,29.0047217,29.0542012,28.9840827,28.9396589,29.109575,29.1282751,28.964797,29.0074816,29.0862256,28.9592458,29.0857343,28.9371234,29.010553,29.0137499,28.9960661,28.8459871,28.8308157,28.9962463,28.8536561,28.8219435,0.0,0.0494795000000003,-0.0206390000000027,-0.0650627999999997,0.1048532999999984,0.1235533999999987,-0.0399247000000002,0.0027598999999973,0.0815038999999977,-0.0454758999999995,0.0810125999999975,-0.0675983000000002,0.0058313000000005,0.0090281999999994,-0.0086556000000008,-0.1587346000000025,-0.1739060000000023,-0.0084754000000017,-0.1510656000000025,-0.1827782000000013
2026-04-27 00:01:51.020,28.9722196,29.0521828,29.0179026,28.994553,29.1041278,29.1261881,28.9568432,28.9978802,29.0898806,28.9599985,29.1241703,28.9321283,28.9544033,28.9946743,29.0028349,28.8443911,28.8473745,28.989392,28.8536223,28.79525,0.0,0.0799632000000016,0.0456830000000003,0.0223334000000008,0.1319082000000015,0.1539685000000012,-0.0153763999999974,0.0256606000000019,0.1176610000000017,-0.0122210999999978,0.1519507000000004,-0.0400913000000002,-0.0178162999999997,0.0224547000000008,0.0306153000000009,-0.1278284999999996,-0.1248450999999981,0.0171723999999997,-0.1185972999999975,-0.1769695999999996
2026-04-27 00:02:51.020,28.9792725,29.0331635,29.0035322,28.9177109,29.0936635,29.1207895,28.9568971,28.989343,29.0832689,28.9415774,29.1406328,28.9262747,28.960099,28.9917896,29.0029882,28.8519529,28.8359054,29.0547198,28.8588137,28.8088198,0.0,0.0538910000000001,0.0242596999999982,-0.0615616000000009,0.1143910000000012,0.1415170000000003,-0.0223754000000013,0.0100705000000012,0.1039963999999997,-0.0376951000000005,0.1613602999999983,-0.0529977999999999,-0.0191735000000008,0.0125171000000001,0.0237157000000003,-0.1273195999999998,-0.1433670999999989,0.0754473000000004,-0.1204588000000015,-0.170452700000002
2026-04-27 00:03:51.020,28.979282,29.0316717,28.9856054,28.923794,29.1044554,29.1268827,28.9486613,28.9857296,29.07228,28.9337013,29.0706919,28.9092526,28.9509299,28.9990197,28.9980269,28.8550924,28.8330644,28.9888753,28.8565608,28.7986755,0.0,0.052389699999999,0.0063233999999994,-0.0554880000000004,0.1251733999999977,0.1476006999999981,-0.0306207,0.0064475999999977,0.0929979999999979,-0.0455807000000021,0.0914098999999986,-0.0700294000000028,-0.0283521000000028,0.0197377000000003,0.0187448999999979,-0.1241896000000011,-0.1462175999999999,0.0095932999999988,-0.1227212000000008,-0.1806064999999996
2026-04-27 00:04:51.020,28.9722964,29.03281,28.959995,28.9149936,29.1049095,29.1108745,28.9518453,28.9713177,29.0606952,28.931197,29.0631335,28.9410846,28.9481988,28.9879559,29.0034592,28.8400164,28.8277713,29.0371809,28.834831,28.7992536,0.0,0.0605136000000001,-0.0123014000000019,-0.0573028000000022,0.1326131000000003,0.1385781000000001,-0.0204511000000024,-0.0009787000000009,0.0883988000000002,-0.0410994000000002,0.0908370999999981,-0.0312118000000012,-0.024097600000001,0.0156594999999981,0.0311628000000006,-0.1322800000000015,-0.1445251000000027,0.064884499999998,-0.1374653999999999,-0.173042800000001
2026-04-27 00:05:51.020,28.9721961,29.0215884,28.9484869,28.8921736,29.0857228,29.1024966,28.9527186,28.9904402,29.0719782,28.9396616,29.0815709,28.9137081,28.9411778,29.025887,28.9870648,28.8390231,28.8179869,28.9885842,28.8416671,28.8114026,0.0,0.0493922999999973,-0.0237092000000025,-0.0800225000000018,0.1135266999999977,0.130300499999997,-0.0194775000000007,0.0182440999999968,0.0997820999999987,-0.0325345000000005,0.1093747999999976,-0.0584880000000005,-0.031018300000003,0.0536908999999994,0.0148686999999974,-0.1331730000000028,-0.1542092000000003,0.0163880999999967,-0.1305290000000027,-0.1607935000000004
2026-04-27 00:06:51.020,28.9640389,29.0303785,28.9529532,28.8783387,29.0940482,29.0941029,28.9376567,28.967621,29.0587205,28.9202741,29.0843087,28.8963534,28.9336917,28.9792374,28.9733024,28.8070593,28.8155034,29.0350745,28.836912,28.7699351,0.0,0.0663396000000027,-0.0110856999999988,-0.085700199999998,0.1300093000000011,0.1300640000000008,-0.0263821999999969,0.0035821000000026,0.0946816000000012,-0.0437647999999981,0.1202698000000026,-0.0676854999999996,-0.0303471999999977,0.0151985000000003,0.0092635000000029,-0.1569795999999996,-0.1485354999999977,0.0710356000000018,-0.1271268999999968,-0.194103799999997
2026-04-27 00:07:51.020,28.9573915,29.020939,28.9813239,28.8926304,29.0815387,29.1149767,28.9334141,28.9761746,29.0641027,28.9372264,29.0742317,28.9301509,28.9569681,29.006319,29.0211477,28.8505875,28.8369778,29.0483988,28.8947122,28.8121735,0.0,0.0635474999999985,0.0239323999999996,-0.0647610999999983,0.1241471999999994,0.1575851999999997,-0.0239773999999997,0.0187831000000002,0.1067111999999994,-0.0201650999999998,0.1168401999999986,-0.0272405999999989,-0.0004233999999989,0.0489275000000013,0.0637562000000002,-0.1068040000000003,-0.1204137000000002,0.0910073000000011,-0.0626792999999992,-0.1452179999999998
2026-04-27 00:08:51.020,28.9543857,29.0156215,28.9897531,28.8796611,29.0917293,29.109058,28.9334708,28.984747,29.050652,28.9210277,29.0621783,28.8973675,28.9301419,28.9688983,28.9844248,28.833445,28.7989261,28.9716852,28.8348812,28.7620737,0.0,0.0612358000000021,0.0353674000000019,-0.0747245999999997,0.1373436000000012,0.1546723000000014,-0.020914900000001,0.0303612999999991,0.0962662999999999,-0.0333579999999997,0.1077925999999998,-0.0570181999999981,-0.0242438000000007,0.0145125999999997,0.0300390999999997,-0.1209406999999984,-0.1554596000000003,0.0172995,-0.1195044999999979,-0.1923120000000011
2026-04-27 00:09:51.020,28.9441224,28.9982123,28.9406793,28.8983993,29.0615856,29.0867521,28.9280237,28.945614,29.0378936,28.918874,29.037067,28.9014612,28.9637032,28.9723401,28.9643256,28.8167419,28.8055258,28.9712416,28.828028,28.7774653,0.0,0.0540898999999974,-0.0034431000000019,-0.0457231,0.1174631999999995,0.1426297000000005,-0.0160987000000005,0.0014915999999978,0.093771199999999,-0.0252484000000023,0.0929445999999991,-0.0426612000000012,0.0195807999999999,0.028217699999999,0.0202031999999974,-0.127380500000001,-0.1385965999999996,0.0271191999999977,-0.1160944000000014,-0.1666571000000019
2026-04-27 00:10:51.020,28.9453193,29.008524,28.9408303,28.9011935,29.0697345,29.0947174,28.9232202,28.9683563,29.0402825,28.9249978,29.0517987,28.8975318,28.9827107,28.9647993,28.9699555,28.8095183,28.8075851,28.964082,28.832496,28.7895426,0.0,0.0632047,-0.004489000000003,-0.0441257999999997,0.1244151999999978,0.1493980999999991,-0.0220991000000019,0.0230369999999986,0.0949631999999987,-0.0203215000000014,0.1064793999999977,-0.0477875000000018,0.037391399999997,0.0194799999999979,0.0246361999999997,-0.1358010000000007,-0.1377342000000005,0.0187626999999999,-0.1128233000000022,-0.1557767000000005
2026-04-27 00:11:51.020,28.9354274,29.0013412,28.9426745,28.8604123,29.0527052,29.0725233,28.9095986,28.9379921,29.0328648,28.9043881,29.0358609,28.8799033,28.9136743,28.9609026,28.952878,28.8143114,28.8052756,28.9584663,28.8145799,28.778876,0.0,0.0659138000000005,0.0072471000000007,-0.0750150999999981,0.1172778000000001,0.137095900000002,-0.0258287999999993,0.0025647000000006,0.0974374000000004,-0.0310392999999997,0.1004335000000011,-0.0555240999999995,-0.0217530999999979,0.0254752000000024,0.0174506,-0.1211159999999971,-0.1301517999999966,0.023038900000003,-0.1208475,-0.1565513999999979
2026-04-27 00:12:51.020,28.9310968,29.0058798,28.9593497,28.8668452,29.0454627,29.076344,28.9221569,28.947848,29.0165229,28.9031733,29.0357701,28.8815936,28.9230716,28.9639035,28.9476522,28.8069629,28.7852464,28.9617541,28.8024473,28.7596174,0.0,0.074783,0.0282529000000018,-0.0642515999999986,0.1143659000000028,0.1452472,-0.0089398999999978,0.0167512000000016,0.0854260999999994,-0.0279234999999999,0.1046733000000017,-0.0495032000000001,-0.0080251999999987,0.0328067000000018,0.0165554000000014,-0.1241339000000003,-0.1458504000000005,0.0306573000000014,-0.128649499999998,-0.171479399999999
2026-04-27 00:13:51.020,28.9243826,28.9770651,28.9056098,28.8378399,29.0462912,29.0658611,28.9011233,28.9359335,29.0156673,28.8870423,29.0163221,28.8674354,28.9333066,28.9483413,28.9608205,28.807243,28.783346,28.950444,28.7928733,28.7542654,0.0,0.0526824999999995,-0.0187728000000007,-0.0865427000000025,0.1219085999999975,0.141478499999998,-0.0232593000000029,0.0115508999999995,0.0912846999999992,-0.0373403000000003,0.0919394999999987,-0.0569471999999997,0.0089240000000003,0.0239586999999978,0.0364378999999992,-0.1171396000000015,-0.1410365999999996,0.0260613999999996,-0.1315093000000011,-0.1701171999999999
2026-04-27 00:14:51.020,28.9349434,28.9901221,28.9129228,28.8534587,29.0403839,29.0490958,28.9069867,28.9301272,29.0204144,28.8855476,29.0398015,28.8752653,28.9078263,28.9461735,28.941562,28.8056114,28.7859087,28.9477792,28.8123223,28.7677003,0.0,0.055178699999999,-0.0220206000000011,-0.0814847000000007,0.1054404999999967,0.1141523999999982,-0.0279567000000007,-0.0048162000000004,0.0854709999999983,-0.0493958000000027,0.1048580999999977,-0.0596781000000028,-0.0271171000000016,0.0112300999999988,0.0066185999999994,-0.1293320000000015,-0.1490347000000014,0.0128357999999977,-0.1226210999999999,-0.1672431000000003
2026-04-27 00:15:51.020,28.9181408,28.971161,28.9118917,28.8538174,29.0502602,29.0586485,28.8879287,28.9301778,29.0151845,28.8706882,29.003062,28.85595,28.9015588,28.9315278,28.9453708,28.7834376,28.7839582,28.9375804,28.7963194,28.7488072,0.0,0.0530201999999988,-0.006249099999998,-0.0643233999999992,0.1321194000000005,0.1405077000000005,-0.0302120999999999,0.0120369999999994,0.0970437000000004,-0.0474525999999997,0.0849212000000001,-0.0621907999999997,-0.0165819999999996,0.0133870000000015,0.0272299999999994,-0.1347032000000005,-0.134182599999999,0.0194396000000018,-0.1218213999999981,-0.169333599999998
2026-04-27 00:16:51.020,28.9146276,28.9613887,28.8992109,28.8194584,29.025577,29.0493337,28.8977222,28.9217933,29.0104156,28.8756137,29.0303331,28.8727755,28.8973205,28.9445149,28.9391252,28.7959688,28.7801259,28.9578435,28.8089727,28.7586247,0.0,0.0467611000000012,-0.0154166999999993,-0.0951692000000008,0.110949399999999,0.1347060999999989,-0.0169053999999988,0.0071657000000016,0.0957880000000024,-0.0390139000000004,0.1157055000000006,-0.0418520999999998,-0.0173071,0.0298873000000021,0.0244976000000001,-0.1186587999999986,-0.1345016999999977,0.0432158999999998,-0.1056548999999975,-0.1560029000000007
2026-04-27 00:17:51.020,28.9116238,28.973617,28.9030127,28.8294948,29.0361831,29.0453526,28.8790459,28.9572649,28.9984412,28.8767513,29.0043683,28.8551755,28.8859962,28.9226624,28.9509174,28.7908408,28.7650116,28.9354669,28.7851062,28.7505165,0.0,0.0619931999999998,-0.0086110999999995,-0.0821290000000019,0.1245592999999978,0.1337288000000001,-0.0325778999999997,0.0456410999999974,0.0868173999999974,-0.0348725000000023,0.0927444999999984,-0.0564482999999995,-0.0256275999999999,0.0110385999999991,0.0392936000000005,-0.1207829999999994,-0.1466121999999998,0.0238431000000005,-0.1265175999999996,-0.1611073000000011
2026-04-27 00:18:51.020,28.9145736,28.9629399,28.9015137,28.8275178,29.029857,29.0422107,28.8718798,28.927981,29.0020252,28.8652949,29.0123821,28.8569564,28.8958044,28.9336133,28.9504044,28.7985908,28.7756504,28.9386702,28.8038086,28.768702,0.0,0.0483662999999978,-0.0130599000000017,-0.0870558000000016,0.1152833999999991,0.1276370999999976,-0.0426938000000021,0.0134073999999984,0.0874515999999978,-0.0492787000000021,0.0978084999999993,-0.0576171999999992,-0.0187692000000012,0.0190397000000004,0.0358307999999993,-0.1159828000000011,-0.1389232000000007,0.0240966,-0.1107650000000006,-0.1458715999999995
2026-04-27 00:19:51.020,28.9044282,28.9590003,28.8869139,28.8352201,29.029143,29.0524829,28.8936823,28.930514,29.0074677,28.8769613,29.0144724,28.8582865,28.8834969,28.9732071,28.9236625,28.7807007,28.7736093,28.9328276,28.789021,28.7595101,0.0,0.0545720999999979,-0.0175143000000019,-0.0692081000000008,0.1247147999999995,0.1480546999999994,-0.0107459000000034,0.026085799999997,0.1030394999999977,-0.0274669000000002,0.1100441999999972,-0.0461417000000032,-0.0209313000000008,0.068778899999998,0.0192342999999972,-0.1237275000000011,-0.1308189000000013,0.0283993999999978,-0.1154071999999999,-0.1449181000000017
